name,version,hash
gir1.2-xapp-1.0,2.0.7-1,bb1c5a9efca4280e57171910ab9ecd31
libismrmrd-dev,1.4.2.1-6,2e4b3533355b483f50b3cc74cde17829
libdiagnostic-aggregator-tools,1.10.1+ds1-3,6435a4b5f25763a82fc648a69b7138e2
libignition-fuel-tools1-dev,4.1.0+dfsg-5,314891c7e919f56182ee3d7a1efe6bb2
libghc-src-exts-simple-prof,1.23.0.0-1,3a77fa40f7e26e02d627b4cdec494c71
lib++dfb-1.7-7,1.7.7-9,4ba2a422793643e6c0c505f96dc5e427
iamerican,3.4.02-2,1d2a2f10266e73706bb560548b303d1a
python-periodictable-doc,1.5.3-1,bb22510d409e08cc6122ef26aa836f6a
libktorrent-l10n,2.2.0-3,7ae698e8aae53eb74f39460e14b10db9
php7.4-gd,7.4.25-1+deb11u1,8dd3137cb25809d5a78399b5e74bc1e8
skyview-java,3.5.5+repack-2,ec55148ea65a617a0c8eee56259ed611
r-cran-devtools,2.3.2-1,f86c969b6a065377bf222bc5afbaf7ed
tclgeoip,0.2-1.1+b1,fd1dfad27fc3d964741066b74d410a6b
lamarc,2.1.10.1+dfsg-5,26f82cf6e52b8bd643792ea57af17aae
libgroonga0,11.0.0-2,0e098e0a690acbea2dd69d7a3fdb6eaa
emu8051,2.0.1-2,d479050f4b2870600408fb6b5d8f0a7d
libaubio-dev,0.4.9-4+b4,9f669553101009ec4296cc9dd701f2c0
libefl-all-dev,1.25.1-1,27c4b6a3f9e041074c9f4a19cd2cff3b
libghc-hedis-prof,0.12.14-1+b1,14edcbfeec3864250d3235864efe27cb
libtwitter-api-perl,1.0005-1,b13b43ac5357fd1773a136da4f0c354d
mailutils-common,1:3.10-3,661afaf445341a47bac5a28eb34a7fa2
libjs-material-design-lite,1.3.0+dfsg-2,f17d764f3b48c24fd65821109f48c1f7
librust-git2+default-dev,0.13.11-2,ea34a42c721f5ca66819ed0b0561b1c9
lv2-c++-tools,1.0.5-4+b2,434c294fa90ebdfe968b7dbda8396f9d
ruby-romkan,0.4.0-2,5197fcff9b36691ad95815169abdf5a5
gdc-10-multilib-s390x-linux-gnu,10.2.1-6cross1,7a8a8a5a5b431baf7ca05abb363d6378
librust-getrandom-dev,0.1.13-4,898559fb051e334cccfadf36ad33f00e
libodb-qt-2.4,2.4.0-3,cf65c1fea1351a7381f3abf2d4db3e52
python3-libipa-hbac,2.4.1-2,4c3d9910f3eff30999c2774f9b22fe4c
node-lazy-property,1.0.0+repack-1,05fe48b389d4fc601ba8f62407abd572
libtorrent-dev,0.13.8-2,1f9eb2925cc94ca63d67cb491e276769
librust-subtle+default-dev,2.1.1-2,b8180677b0a35e1815447b96d742ef12
fusiondirectory-plugin-repository-schema,1.3-4,b321b851f2d9fbbf12433e8f065fc67c
libjboss-logging-tools-java,2.2.1-2,620a21320d8cd089632c3327f9f45fdf
sndfile-programs,1.0.31-2,cce0c3c699188df235fa23e418164177
gir1.2-amtk-5,5.2.0-1,ebb6cbb70e2ca000544d48ffc62130c1
libemboss-acd-perl,2.2.0-11,98b94e91da9160be0af54b2eabf9e117
libidn2-dev,2.3.0-5,95912023d1c062d7a7f0c8743188e023
librust-ryu+no-panic-dev,1.0.2-1,f1bbb84d0a792cfb2e74facda517ec35
python3-mido,1.2.9-3,977096c0973278a2292433e9f93dd7f3
spi-tools,0.8.4-1,2236464bfdcbb9686d841036b825faf8
python3-barman,2.12-2,f2f045991b61729ee9b32ef5a86a855e
node-asap,2.0.6-2,32d5fdbc49da118ee3402cb970a2fb43
libusbmuxd6,2.0.2-3,72aaf737879223f8d0264bfc13478e6e
libwhisker2-perl,2.5-1.1,3a809d09d984ea2fafd1a6970a56da91
wmaker,0.95.9-2,5488e9c06b3c174da583b11500c71ec1
python3.9-doc,3.9.2-1,bd56c87bebfe544525affbb6ecbfc006
libghc-megaparsec-prof,8.0.0-3+b1,65bccedf7dffe4229f520e6a5184f0a9
plplot-driver-xwin,5.15.0+dfsg-19,cc26b6056635191955f397a49bda723a
gmediarender,0.0.9-2,fa4af4d6a63b26d2f962c050d881ec4f
libeclipse-e4-ui-ide-java,3.15.100+eclipse4.18-2,cc179bb954e6383b0550c486ba150240
python-hiera-doc,0.0.1+20190629-2,cc215eb9573ad4f49651f076cc3677a1
gfortran-9-sparc64-linux-gnu,9.3.0-22cross1,cc46dcdc58f04ed079cad21902d6816d
